//변수명,명칭(메인스킬define),스킬레벨,최소능력,최대능력,대인 최대 능력,대인 최대 능력,공격속도,타격시 반동,적용확률,대인 적용확률,타운트,적용대상1,적용대상2,적용값1,적용값2,적용변화값1,적용변화값2,참조값 1,참조값 2,참조값 3,발동 마법,마법 확률,대인 마법 확률,필요MP,필요FP,쿨다운,기술 준비시간,기술 시전거리,유지시간,지속피해타임(몇초에 한번씩 피해를 입는가?),지속시간,스킬발동갯수,스킬경험치,현재경험치,콤보스킬타임
//dwID,dwName,dwSkillLvl,dwAbilityMin,dwAtkAbilityMax,dwAbilityMinPVP,dwAbilityMaxPVP,dwAttackSpeed,dwDmgShift,nProbability,nProbabilityPVP,dwTaunt,dwDestParam1,dwDestParam2,nAdjParamVal1,nAdjParamVal2,dwChgParamVal1,dwChgParamVal2,dwdestData1,dwdestData2,dwdestData3,dwactiveskill,dwActiveSkillRate,dwActiveSkillRatePVP,dwReqMp,dwRepFp,dwCooldown,dwCastingTime,dwSkillRange,dwCircleTime,dwPainTime,dwSkillTime,dwSkillCount,dwSkillExp,dwExp,dwComboSkillTime
SA_BRANDISH_L03,SI_VAG_ONE_BRANDISH,3,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,10,=,=,=,=,=,=,=,3,0,600
SA_BRANDISH_L04,SI_VAG_ONE_BRANDISH,4,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,12,=,=,=,=,=,=,=,3,0,600
SA_BRANDISH_L05,SI_VAG_ONE_BRANDISH,5,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,12,=,=,=,=,=,=,=,3,0,600
SA_BRANDISH_L06,SI_VAG_ONE_BRANDISH,6,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,12,=,=,=,=,=,=,=,2,1,600
SA_BRANDISH_L07,SI_VAG_ONE_BRANDISH,7,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,2,1,600
SA_BRANDISH_L08,SI_VAG_ONE_BRANDISH,8,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,2,1,600
SA_BRANDISH_L09,SI_VAG_ONE_BRANDISH,9,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,2,1,600
SA_BRANDISH_L10,SI_VAG_ONE_BRANDISH,10,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,2,2,600
SA_OVERCUTTER_L01,SI_VAG_ONE_OVERCUTTER,1,20,21,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,4,0,600
SA_OVERCUTTER_L02,SI_VAG_ONE_OVERCUTTER,2,20,21,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,3,1,600
SA_OVERCUTTER_L03,SI_VAG_ONE_OVERCUTTER,3,20,21,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,15,=,=,=,=,=,=,=,3,1,600
SA_OVERCUTTER_L04,SI_VAG_ONE_OVERCUTTER,4,21,22,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,18,=,=,=,=,=,=,=,3,1,600
SA_OVERCUTTER_L05,SI_VAG_ONE_OVERCUTTER,5,21,22,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,18,=,=,=,=,=,=,=,3,1,600
SA_OVERCUTTER_L06,SI_VAG_ONE_OVERCUTTER,6,21,22,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,18,=,=,=,=,=,=,=,2,1,600
SA_OVERCUTTER_L07,SI_VAG_ONE_OVERCUTTER,7,22,23,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,20,=,=,=,=,=,=,=,2,1,600
SA_OVERCUTTER_L08,SI_VAG_ONE_OVERCUTTER,8,22,23,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,20,=,=,=,=,=,=,=,2,1,600
SA_OVERCUTTER_L09,SI_VAG_ONE_OVERCUTTER,9,22,23,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,22,=,=,=,=,=,=,=,2,1,600
SA_OVERCUTTER_L10,SI_VAG_ONE_OVERCUTTER,10,23,24,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,22,=,=,=,=,=,=,=,2,2,600
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=
SA_SPLMASH_L01,SI_MER_ONE_SPLMASH,1,8,9,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,20,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L02,SI_MER_ONE_SPLMASH,2,8,9,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,20,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L03,SI_MER_ONE_SPLMASH,3,8,9,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,23,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L04,SI_MER_ONE_SPLMASH,4,8,9,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,23,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L05,SI_MER_ONE_SPLMASH,5,8,9,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,26,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L06,SI_MER_ONE_SPLMASH,6,9,10,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,26,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L07,SI_MER_ONE_SPLMASH,7,9,10,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L08,SI_MER_ONE_SPLMASH,8,9,10,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L09,SI_MER_ONE_SPLMASH,9,9,10,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L10,SI_MER_ONE_SPLMASH,10,9,10,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L11,SI_MER_ONE_SPLMASH,11,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,36,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L12,SI_MER_ONE_SPLMASH,12,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,36,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L13,SI_MER_ONE_SPLMASH,13,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,40,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L14,SI_MER_ONE_SPLMASH,14,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,40,=,=,=,=,=,=,=,1,1,600
SA_SPLMASH_L15,SI_MER_ONE_SPLMASH,15,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,43,=,=,=,=,=,=,=,1,2,600
SA_SPLMASH_L16,SI_MER_ONE_SPLMASH,16,11,12,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,43,=,=,=,=,=,=,=,1,2,600
SA_SPLMASH_L17,SI_MER_ONE_SPLMASH,17,11,12,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,46,=,=,=,=,=,=,=,1,2,600
SA_SPLMASH_L18,SI_MER_ONE_SPLMASH,18,11,12,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,46,=,=,=,=,=,=,=,1,2,600
SA_SPLMASH_L19,SI_MER_ONE_SPLMASH,19,11,12,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,50,=,=,=,=,=,=,=,1,2,600
SA_SPLMASH_L20,SI_MER_ONE_SPLMASH,20,11,12,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,50,=,=,=,=,=,=,=,1,3,600
SA_KEENWHEE_L01,SI_MER_ONE_KEENWHEEL,1,4,5,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,25,=,=,=,=,=,=,=,1,3,600
SA_KEENWHEE_L02,SI_MER_ONE_KEENWHEEL,2,4,5,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,25,=,=,=,=,=,=,=,1,3,600
SA_KEENWHEE_L03,SI_MER_ONE_KEENWHEEL,3,4,5,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,26,=,=,=,=,=,=,=,1,3,600
SA_KEENWHEE_L04,SI_MER_ONE_KEENWHEEL,4,4,5,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,26,=,=,=,=,=,=,=,1,4,600
SA_KEENWHEE_L05,SI_MER_ONE_KEENWHEEL,5,4,5,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,4,600
SA_KEENWHEE_L06,SI_MER_ONE_KEENWHEEL,6,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,4,600
SA_KEENWHEE_L07,SI_MER_ONE_KEENWHEEL,7,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,4,600
SA_KEENWHEE_L08,SI_MER_ONE_KEENWHEEL,8,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,4,600
SA_KEENWHEE_L09,SI_MER_ONE_KEENWHEEL,9,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,37,=,=,=,=,=,=,=,1,5,600
SA_KEENWHEE_L10,SI_MER_ONE_KEENWHEEL,10,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,37,=,=,=,=,=,=,=,1,5,600
SA_KEENWHEE_L11,SI_MER_ONE_KEENWHEEL,11,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,41,=,=,=,=,=,=,=,1,6,600
SA_KEENWHEE_L12,SI_MER_ONE_KEENWHEEL,12,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,41,=,=,=,=,=,=,=,1,6,600
SA_KEENWHEE_L13,SI_MER_ONE_KEENWHEEL,13,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,45,=,=,=,=,=,=,=,1,6,600
SA_KEENWHEE_L14,SI_MER_ONE_KEENWHEEL,14,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,45,=,=,=,=,=,=,=,1,6,600
SA_KEENWHEE_L15,SI_MER_ONE_KEENWHEEL,15,6,7,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,49,=,=,=,=,=,=,=,1,7,600
SA_KEENWHEE_L16,SI_MER_ONE_KEENWHEEL,16,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,49,=,=,=,=,=,=,=,1,7,600
SA_KEENWHEE_L17,SI_MER_ONE_KEENWHEEL,17,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,54,=,=,=,=,=,=,=,1,8,600
SA_KEENWHEE_L18,SI_MER_ONE_KEENWHEEL,18,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,54,=,=,=,=,=,=,=,1,8,600
SA_KEENWHEE_L19,SI_MER_ONE_KEENWHEEL,19,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,60,=,=,=,=,=,=,=,1,9,600
SA_KEENWHEE_L20,SI_MER_ONE_KEENWHEEL,20,7,8,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,60,=,=,=,=,=,=,=,1,12,600
SA_BLINDSIDE_L01,SI_MER_ONE_BLINDSIDE,1,35,36,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,26,=,=,=,=,=,=,=,1,3,600
SA_BLINDSIDE_L02,SI_MER_ONE_BLINDSIDE,2,35,36,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,28,=,=,=,=,=,=,=,1,3,600
SA_BLINDSIDE_L03,SI_MER_ONE_BLINDSIDE,3,36,37,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,28,=,=,=,=,=,=,=,1,3,600
SA_BLINDSIDE_L04,SI_MER_ONE_BLINDSIDE,4,36,37,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,4,600
SA_BLINDSIDE_L05,SI_MER_ONE_BLINDSIDE,5,37,38,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,4,600
SA_BLINDSIDE_L06,SI_MER_ONE_BLINDSIDE,6,37,38,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,30,=,=,=,=,=,=,=,1,4,600
SA_BLINDSIDE_L07,SI_MER_ONE_BLINDSIDE,7,38,39,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,4,600
SA_BLINDSIDE_L08,SI_MER_ONE_BLINDSIDE,8,38,39,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,33,=,=,=,=,=,=,=,1,4,600
SA_BLINDSIDE_L09,SI_MER_ONE_BLINDSIDE,9,39,40,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,37,=,=,=,=,=,=,=,1,5,600
SA_BLINDSIDE_L10,SI_MER_ONE_BLINDSIDE,10,39,40,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,37,=,=,=,=,=,=,=,1,5,600
SA_BLINDSIDE_L11,SI_MER_ONE_BLINDSIDE,11,40,41,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,41,=,=,=,=,=,=,=,1,6,600
SA_BLINDSIDE_L12,SI_MER_ONE_BLINDSIDE,12,40,41,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,41,=,=,=,=,=,=,=,1,6,600
SA_BLINDSIDE_L13,SI_MER_ONE_BLINDSIDE,13,41,42,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,43,=,=,=,=,=,=,=,1,6,600
SA_BLINDSIDE_L14,SI_MER_ONE_BLINDSIDE,14,41,42,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,43,=,=,=,=,=,=,=,1,6,600
SA_BLINDSIDE_L15,SI_MER_ONE_BLINDSIDE,15,42,43,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,46,=,=,=,=,=,=,=,1,7,600
SA_BLINDSIDE_L16,SI_MER_ONE_BLINDSIDE,16,42,43,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,46,=,=,=,=,=,=,=,1,7,600
SA_BLINDSIDE_L17,SI_MER_ONE_BLINDSIDE,17,43,44,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,50,=,=,=,=,=,=,=,1,8,600
SA_BLINDSIDE_L18,SI_MER_ONE_BLINDSIDE,18,43,44,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,50,=,=,=,=,=,=,=,1,8,600
SA_BLINDSIDE_L19,SI_MER_ONE_BLINDSIDE,19,44,45,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,58,=,=,=,=,=,=,=,1,9,600
SA_BLINDSIDE_L20,SI_MER_ONE_BLINDSIDE,20,44,45,=,=,150,=,=,=,20,=,=,=,=,=,=,=,=,=,=,=,=,=,58,=,=,=,=,=,=,=,1,12,600
SA_PROTECTION_L01,SI_MER_SHIELD_PROTECTION,1,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,1,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,90000,=,1,1,600
SA_PROTECTION_L02,SI_MER_SHIELD_PROTECTION,2,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,2,=,=,=,=,=,=,=,=,=,=,42,=,5000,=,=,=,120000,=,1,1,600
SA_PROTECTION_L03,SI_MER_SHIELD_PROTECTION,3,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,3,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,90000,=,1,1,600
SA_PROTECTION_L04,SI_MER_SHIELD_PROTECTION,4,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,4,=,=,=,=,=,=,=,=,=,=,42,=,5000,=,=,=,120000,=,1,1,600
SA_PROTECTION_L05,SI_MER_SHIELD_PROTECTION,5,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,5,=,=,=,=,=,=,=,=,=,=,47,=,5000,=,=,=,90000,=,1,1,600
SA_PROTECTION_L06,SI_MER_SHIELD_PROTECTION,6,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,6,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,120000,=,1,1,600
SA_PROTECTION_L07,SI_MER_SHIELD_PROTECTION,7,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,7,=,=,=,=,=,=,=,=,=,=,47,=,5000,=,=,=,90000,=,1,1,600
SA_PROTECTION_L08,SI_MER_SHIELD_PROTECTION,8,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,8,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,120000,=,1,1,600
SA_PROTECTION_L09,SI_MER_SHIELD_PROTECTION,9,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,9,=,=,=,=,=,=,=,=,=,=,49,=,5000,=,=,=,90000,=,1,2,600
SA_PROTECTION_L10,SI_MER_SHIELD_PROTECTION,10,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,10,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,120000,=,1,2,600
SA_PROTECTION_L11,SI_MER_SHIELD_PROTECTION,11,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,11,=,=,=,=,=,=,=,=,=,=,49,=,5000,=,=,=,120000,=,1,2,600
SA_PROTECTION_L12,SI_MER_SHIELD_PROTECTION,12,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,12,=,=,=,=,=,=,=,=,=,=,45,=,5000,=,=,=,150000,=,1,2,600
SA_PROTECTION_L13,SI_MER_SHIELD_PROTECTION,13,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,13,=,=,=,=,=,=,=,=,=,=,51,=,5000,=,=,=,120000,=,1,2,600
SA_PROTECTION_L14,SI_MER_SHIELD_PROTECTION,14,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,14,=,=,=,=,=,=,=,=,=,=,49,=,5000,=,=,=,150000,=,1,2,600
SA_PROTECTION_L15,SI_MER_SHIELD_PROTECTION,15,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,15,=,=,=,=,=,=,=,=,=,=,51,=,5000,=,=,=,120000,=,1,2,600
SA_PROTECTION_L16,SI_MER_SHIELD_PROTECTION,16,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,16,=,=,=,=,=,=,=,=,=,=,49,=,5000,=,=,=,150000,=,1,2,600
SA_PROTECTION_L17,SI_MER_SHIELD_PROTECTION,17,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,17,=,=,=,=,=,=,=,=,=,=,55,=,5000,=,=,=,120000,=,1,3,600
SA_PROTECTION_L18,SI_MER_SHIELD_PROTECTION,18,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,18,=,=,=,=,=,=,=,=,=,=,52,=,5000,=,=,=,150000,=,1,3,600
SA_PROTECTION_L19,SI_MER_SHIELD_PROTECTION,19,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,19,=,=,=,=,=,=,=,=,=,=,60,=,5000,=,=,=,150000,=,1,3,600
SA_PROTECTION_L20,SI_MER_SHIELD_PROTECTION,20,=,=,=,=,=,=,=,=,=,DST_ADJDEF,=,20,=,=,=,=,=,=,=,=,=,=,57,=,5000,=,=,=,200000,=,1,4,600
SA_PANBARRIER_L01,SI_MER_SHIELD_PANBARRIER,1,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,2,=,=,=,=,=,=,=,=,=,=,55,=,5000,=,=,=,90000,=,1,3,600
SA_PANBARRIER_L02,SI_MER_SHIELD_PANBARRIER,2,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,4,=,=,=,=,=,=,=,=,=,=,55,=,5000,=,=,=,95000,=,1,3,600
SA_PANBARRIER_L03,SI_MER_SHIELD_PANBARRIER,3,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,6,=,=,=,=,=,=,=,=,=,=,57,=,5000,=,=,=,100000,=,1,3,600
SA_PANBARRIER_L04,SI_MER_SHIELD_PANBARRIER,4,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,8,=,=,=,=,=,=,=,=,=,=,57,=,5000,=,=,=,105000,=,1,3,600
SA_PANBARRIER_L05,SI_MER_SHIELD_PANBARRIER,5,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,10,=,=,=,=,=,=,=,=,=,=,60,=,5000,=,=,=,110000,=,1,4,600
SA_PANBARRIER_L06,SI_MER_SHIELD_PANBARRIER,6,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,12,=,=,=,=,=,=,=,=,=,=,60,=,5000,=,=,=,115000,=,1,4,600
SA_PANBARRIER_L07,SI_MER_SHIELD_PANBARRIER,7,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,14,=,=,=,=,=,=,=,=,=,=,62,=,5000,=,=,=,120000,=,1,4,600
SA_PANBARRIER_L08,SI_MER_SHIELD_PANBARRIER,8,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,16,=,=,=,=,=,=,=,=,=,=,62,=,5000,=,=,=,125000,=,1,4,600
SA_PANBARRIER_L09,SI_MER_SHIELD_PANBARRIER,9,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,18,=,=,=,=,=,=,=,=,=,=,64,=,5000,=,=,=,130000,=,1,5,600
SA_PANBARRIER_L10,SI_MER_SHIELD_PANBARRIER,10,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,20,=,=,=,=,=,=,=,=,=,=,64,=,5000,=,=,=,135000,=,1,5,600
SA_PANBARRIER_L11,SI_MER_SHIELD_PANBARRIER,11,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,22,=,=,=,=,=,=,=,=,=,=,66,=,5000,=,=,=,140000,=,1,6,600
SA_PANBARRIER_L12,SI_MER_SHIELD_PANBARRIER,12,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,24,=,=,=,=,=,=,=,=,=,=,66,=,5000,=,=,=,145000,=,1,6,600
SA_PANBARRIER_L13,SI_MER_SHIELD_PANBARRIER,13,=,=,=,=,=,=,=,=,=,DST_BLOCK_RANGE,=,26,=,=,=,=,=,=,=,=,=,=,68,=,5000,=,=,=,150000,=,1,6,600
