//날짜	지급최소레벨	생성아이템	생성개수	확률
20040520	31	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.75
20040520	36	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	1.5
20040520	41	II_SYS_SYS_EVE_0504M3AIRSHIP    	1	5.49
20040520	46	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	16.94
20040520	51	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	35.16
20040521	6	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.06
20040521	11	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.11
20040521	16	II_SYS_SYS_EVE_0504M8OST        	1	0.18
20040521	16	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.18
20040521	21	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.34
20040521	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040521	26	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.62
20040521	31	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.75
20040521	36	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	1.5
20040521	41	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	5.49
20040521	46	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	16.94
20040521	51	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	35.16
20040522	6	II_SYS_SYS_EVE_0504M8OST        	1	0.06
20040522	11	II_SYS_SYS_EVE_0504M8OST        	1	0.11
20040522	11	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.11
20040522	16	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.18
20040522	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040522	26	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.62
20040522	31	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.75
20040522	36	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	1.5
20040522	41	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	5.49
20040522	46	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	16.94
20040522	51	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	35.16
20040523	6	II_SYS_SYS_EVE_0504M8OST        	1	0.06
20040523	6	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.06
20040523	11	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.11
20040523	16	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.18
20040523	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040523	26	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.62
20040523	31	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.75
20040523	36	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	1.5
20040523	41	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	5.49
20040523	46	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	16.94
20040523	51	II_SYS_SYS_EVE_0504M1NOTEBOOK   	1	35.16
20040524	6	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.06
20040524	11	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.11
20040524	16	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.18
20040524	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040524	26	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.62
20040524	31	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.75
20040524	36	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	1.5
20040524	41	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	5.49
20040524	46	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	16.94
20040524	51	II_SYS_SYS_EVE_0504M8OST        	1	35.16
20040524	51	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	35.16
