//변수명,한글명칭,영문명칭,일본명칭,중국명칭,태국명칭,인공지능,힘,체력,민첩,지능,종족,호전성,성별,레벨,비행레벨,크기,등급,파츠,온혈,방어 캐릭수,전투행동반경,최소타격치,최대타격치,공격1(기본),공격2(기본),공격3(특수),가로가중치,세로가중치,사선가중치,찌르기가중치,가슴 비율,머리 비율,팔 비율,다리 비율,공격속도,재공격속도,HP보완,추가방어점,마모도,경도,추가공격속도저하,공격 속성,속성 공격력,피색,이동속도,거주지역,비행유무,높이뛰기,멀리뛰기,조련유무,마법저항,전기저항,불저항,바람저항,물저항,땅저항,제공금액,제공재료,재료양,재료응집도,시체유지시간,아이템생성보정값,경험치,비행경험치,몸상태,추가능력,죽음유무,가상아이템1,가상아이템타입,가상아이템1,가상아이템타입,가상아이템1,가상아이템타입,공격효과음1,공격효과음2,죽는효과음1,죽는효과음2,피해효과음1,피해효과음2,피해효과음3,방관효과음1,방관효과음2,한글설명,영문설명,일어설명,중국설명,태국설명
//dwID,szName,szNameEn,"""""","""""","""""",dwAI,dwStr,dwSta,dwDex,dwInt,dwRace,dwBelligerence,dwGender,dwLevel,dwFilghtLevel,dwSize,dwClass,bIfPart,bWarmBlood,dwDefExtent,dwActionRadius,dwAtkMin,dwAtkMax,dwAtk1,dwAtk2,dwAtk3,dwHorizontalRate,dwVerticalRate,dwDiagonalRate,dwThrustRate,dwChestRate,dwHeadRate,dwArmRate,dwLegRate,dwAttackSpeed,dwReAttackDelay,dwAddHp,dwNaturealArmor,nAbrasion,nHardness,dwAdjAtkDelay,eElementType,wElementAtk,dwBloodColor,fSpeed,dwShelter,bFlying,dwJumpIng,dwAirJump,bTaming,dwResisMagic,fResistElecricity,fResistFire,fResistWind,fResistWater,fResistEarth,dwCash,dwSourceMaterial,dwMaterialAmount,dwCohesion,dwHoldingTime,dwCorrectionValue,dwExpValue,nFxpValue,nBodyState,dwAddAbility,bKillable,dwVirtItem1,dwVirtType1,dwVirtItem2,dwVirtType2,dwVirtItem3,dwVirtType3,dwSndAtk1,dwSndAtk2,dwSndDie1,dwSndDie2,dwSndDmg1,dwSndDmg2,dwSndDmg3,dwSndIdle1,dwSndIdle2,szComment,"""""","""""","""""",""""""
MI_MUSHPANG3,"""두목 머슈팡""","""Captain Mushpang""","""キャプテン?マッシュファング""","""""","""""",AII_MONSTER,15,20,21,21,=,BELLI_MELEE2X,=,4,=,=,RANK_CAPTAIN,0,=,=,=,46,49,II_WEA_MOB_MUSHPANG3_ATK1    ,II_WEA_MOB_MUSHPANG3_ATK2    ,II_WEA_MOB_MUSHPANG3_ATK3    ,=,=,=,=,=,=,=,=,1000,5500,634,4,130,0,=,5,8,=,0.08,=,0,=,=,=,4,0.3,0,-0.3,0,0,13,=,=,=,=,16,7,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_MUSHPANG4,"""거대 머슈팡""","""Gaint Mushpang""","""ジャイアント?マッシュファング""","""""","""""",AII_MONSTER,15,20,27,27,=,BELLI_MELEE2X,=,7,=,=,RANK_BOSS,0,=,=,=,136,143,II_WEA_MOB_MUSHPANG4_ATK1    ,II_WEA_MOB_MUSHPANG4_ATK2    ,II_WEA_MOB_MUSHPANG4_ATK3    ,=,=,=,=,=,=,=,=,1000,5500,19764,7,130,0,=,2,24,=,0.075,=,0,=,=,=,7,-0.3,0.3,0,0,0,126,=,=,=,=,50,56,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_BURUDENG1,"""작은 부루뎅""","""Small Burudeng""","""スモ?ル?ブルデング""","""""","""""",AII_MONSTER,15,20,23,23,=,BELLI_MELEE2X,=,5,=,=,RANK_LOW,0,=,=,=,53,56,II_WEA_MOB_BURUDENG1_ATK1  ,II_WEA_MOB_BURUDENG1_ATK2  ,II_WEA_MOB_BURUDENG1_ATK3  ,=,=,=,=,=,=,=,=,1000,5000,814,5,130,0,=,3,9,=,0.075,=,0,=,=,=,5,0,0,0,0.3,-0.3,14,=,=,=,=,25,9,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_BURUDENG2,"""부루뎅""","""Burudeng""","""ブルデング""","""""","""""",AII_MONSTER,15,20,23,23,=,BELLI_MELEE2X,=,5,=,=,RANK_NORMAL,0,=,=,=,53,56,II_WEA_MOB_BURUDENG2_ATK1  ,II_WEA_MOB_BURUDENG2_ATK2  ,II_WEA_MOB_BURUDENG2_ATK3  ,=,=,=,=,=,=,=,=,1000,5000,814,5,130,0,=,3,9,=,0.075,=,0,=,=,=,5,0,0,0,0.3,-0.3,14,=,=,=,=,50,9,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_BURUDENG3,"""성충 부루뎅""","""Captain Burudeng""","""キャプテン?ブルデング""","""""","""""",AII_MONSTER,15,20,25,25,=,BELLI_MELEE2X,=,6,=,=,RANK_CAPTAIN,0,=,=,=,64,68,II_WEA_MOB_BURUDENG3_ATK1  ,II_WEA_MOB_BURUDENG3_ATK2  ,II_WEA_MOB_BURUDENG3_ATK3  ,=,=,=,=,=,=,=,=,1000,5000,920,6,130,0,=,3,11,=,0.08,=,0,=,=,=,6,0,0,0,0.3,-0.3,16,=,=,=,=,16,11,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_BURUDENG4,"""거대 부루뎅""","""Gaint Burudeng""","""ジャイアント?ブルデング""","""""","""""",AII_MONSTER,15,20,31,31,=,BELLI_MELEE2X,=,9,=,=,RANK_BOSS,0,=,=,=,170,178,II_WEA_MOB_BURUDENG4_ATK1  ,II_WEA_MOB_BURUDENG4_ATK2  ,II_WEA_MOB_BURUDENG4_ATK3  ,=,=,=,=,=,=,=,=,1000,3000,24323,9,130,0,=,4,30,=,0.075,=,0,=,=,=,9,0,-0.3,0,0,0.3,154,=,=,=,=,30,66,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PUKEPUKE1,"""부하 푸케푸케""","""Small Pukepuke""","""スモ?ル?プケプケ""","""""","""""",AII_MONSTER,15,20,27,27,=,BELLI_MELEE2X,=,7,=,=,RANK_LOW,0,=,=,=,71,75,II_WEA_MOB_PUKEPUKE1_ATK1  ,II_WEA_MOB_PUKEPUKE1_ATK2  ,II_WEA_MOB_PUKEPUKE1_ATK3  ,=,=,=,=,=,=,=,=,1000,4500,1123,7,130,0,=,1,13,=,0.075,=,0,=,=,=,7,0,0,0.3,-0.3,0,18,=,=,=,=,25,12,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PUKEPUKE2,"""푸케푸케""","""Pukepuke""","""プケプケ""","""""","""""",AII_MONSTER,15,20,27,27,=,BELLI_MELEE2X,=,7,=,=,RANK_NORMAL,0,=,=,=,71,75,II_WEA_MOB_PUKEPUKE2_ATK1  ,II_WEA_MOB_PUKEPUKE2_ATK2  ,II_WEA_MOB_PUKEPUKE2_ATK3  ,=,=,=,=,=,=,=,=,1000,4500,1123,7,130,0,=,5,13,=,0.075,=,0,=,=,=,7,0.3,0,-0.3,0,0,18,=,=,=,=,50,13,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PUKEPUKE3,"""두목 푸케푸케""","""Captain Pukepuke""","""キャプテン?プケプケ""","""""","""""",AII_MONSTER,15,20,29,29,=,BELLI_MELEE2X,=,8,=,=,RANK_CAPTAIN,0,=,=,=,83,86,II_WEA_MOB_PUKEPUKE3_ATK1  ,II_WEA_MOB_PUKEPUKE3_ATK2  ,II_WEA_MOB_PUKEPUKE3_ATK3  ,=,=,=,=,=,=,=,=,1000,4500,1269,8,130,0,=,1,14,=,0.08,=,0,=,=,=,8,0,0,0.3,-0.3,0,20,=,=,=,=,16,13,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PUKEPUKE4,"""거대 푸케푸케""","""Gaint Pukepuke""","""ジャイアント?プケプケ""","""""","""""",AII_MONSTER,15,20,35,35,=,BELLI_MELEE2X,=,11,=,=,RANK_BOSS,0,=,=,=,201,210,II_WEA_MOB_PUKEPUKE4_ATK1  ,II_WEA_MOB_PUKEPUKE4_ATK2  ,II_WEA_MOB_PUKEPUKE4_ATK3  ,=,=,=,=,=,=,=,=,1000,3000,31556,11,130,0,=,5,36,=,0.075,=,0,=,=,=,11,0.3,0,-0.3,0,0,182,=,=,=,=,220,81,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PEAKYTURTLE1,"""부하 피키터틀""","""Small Peakyturtle""","""メイド?パペット""","""""","""""",AII_MONSTER,15,20,29,29,=,BELLI_MELEE,=,8,=,=,RANK_LOW,0,=,=,=,83,86,II_WEA_MOB_MONSTER1_ATK1,II_WEA_MOB_MONSTER1_ATK2,II_WEA_MOB_MONSTER1_ATK3,=,=,=,=,=,=,=,=,1000,3000,1269,8,130,0,=,2,14,=,0.075,=,0,=,=,=,8,-0.3,0.3,0,0,0,20,=,=,=,=,21,13,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_TREE,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PEAKYTURTLE2,"""피키터틀""","""Peakyturtle""","""パペット""","""""","""""",AII_MONSTER,15,20,29,29,=,BELLI_MELEE,=,8,=,=,RANK_NORMAL,0,=,=,=,83,86,II_WEA_MOB_MONSTER2_ATK1,II_WEA_MOB_MONSTER2_ATK2,II_WEA_MOB_MONSTER2_ATK3,=,=,=,=,=,=,=,=,1000,3000,1269,8,130,0,=,3,14,=,0.075,=,0,=,=,=,8,0,0,0,0.3,-0.3,20,=,=,=,=,50,14,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_TREE,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PEAKYTURTLE3,"""두목 피키터틀""","""Captain Peakyturtle""","""マネ?ジャ?パペット""","""""","""""",AII_MONSTER,15,20,31,31,=,BELLI_MELEE,=,9,=,=,RANK_CAPTAIN,0,=,=,=,89,93,II_WEA_MOB_MONSTER3_ATK1,II_WEA_MOB_MONSTER3_ATK2,II_WEA_MOB_MONSTER3_ATK3,=,=,=,=,=,=,=,=,1000,3000,1382,9,130,0,=,2,16,=,0.08,=,0,=,=,=,9,-0.3,0.3,0,0,0,22,=,=,=,=,14,14,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_TREE,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_PEAKYTURTLE4,"""거대 피키터틀""","""Gaint Peakyturtle""","""ボス?パペット""","""""","""""",AII_MONSTER,15,20,37,37,=,BELLI_MELEE,=,12,=,=,RANK_BOSS,0,=,=,=,216,227,II_WEA_MOB_MONSTER4_ATK1,II_WEA_MOB_MONSTER4_ATK2,II_WEA_MOB_MONSTER4_ATK3,=,=,=,=,=,=,=,=,1000,3000,36132,12,130,0,=,3,38,=,0.075,=,0,=,=,=,12,0,0,0,0.3,-0.3,196,=,=,=,=,250,91,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_TREE,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DEMIAN1,"""개구쟁이 데미안""","""Urchin Demian""","""いたずらデミアン""","""""","""""",AII_MONSTER,15,20,31,31,=,BELLI_MELEE2X,=,9,=,=,RANK_LOW,0,=,=,=,89,93,II_WEA_MOB_DEMIAN1_ATK1,II_WEA_MOB_DEMIAN1_ATK2,II_WEA_MOB_DEMIAN1_ATK3,=,=,=,=,=,=,=,=,1000,4500,1382,9,130,0,=,4,16,=,0.075,=,0,=,=,=,9,0,-0.3,0,0,0.3,22,=,=,=,=,21,14,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DEMIAN2,"""데미안""","""Demian""","""デミアン""","""""","""""",AII_MONSTER,15,20,31,31,=,BELLI_MELEE2X,=,9,=,=,RANK_NORMAL,0,=,=,=,89,93,II_WEA_MOB_DEMIAN2_ATK1,II_WEA_MOB_DEMIAN2_ATK2,II_WEA_MOB_DEMIAN2_ATK3,=,=,=,=,=,=,=,=,1000,4500,1382,9,130,0,=,5,16,=,0.075,=,0,=,=,=,9,0.3,0,-0.3,0,0,22,=,=,=,=,50,15,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DEMIAN3,"""악질 데미안""","""Bad Demian""","""バッド?デミアン""","""""","""""",AII_MONSTER,15,20,33,33,=,BELLI_MELEE2X,=,10,=,=,RANK_CAPTAIN,0,=,=,=,99,103,II_WEA_MOB_DEMIAN3_ATK1,II_WEA_MOB_DEMIAN3_ATK2,II_WEA_MOB_DEMIAN3_ATK3,=,=,=,=,=,=,=,=,1000,4500,1647,10,130,0,=,4,17,=,0.08,=,0,=,=,=,10,0,-0.3,0,0,0.3,24,=,=,=,=,14,15,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DEMIAN4,"""거대 데미안""","""Gaint Demian""","""ジャアイント?デミアン""","""""","""""",AII_MONSTER,15,20,39,39,=,BELLI_MELEE2X,=,13,=,=,RANK_BOSS,0,=,=,=,230,241,II_WEA_MOB_DEMIAN4_ATK1,II_WEA_MOB_DEMIAN4_ATK2,II_WEA_MOB_DEMIAN4_ATK3,=,=,=,=,=,=,=,=,1000,3000,39177,13,130,0,=,5,41,=,0.075,=,0,=,=,=,13,0.3,0,-0.3,0,0,210,=,=,=,=,300,102,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DORIDOMA1,"""부하 도리도마""","""Small Doridoma""","""スモ?ル?ドリドマ""","""""","""""",AII_MONSTER,15,20,35,35,=,BELLI_MELEE,=,11,=,=,RANK_LOW,0,=,=,=,106,110,II_WEA_MOB_DORIDOMA1_ATK1  ,II_WEA_MOB_DORIDOMA1_ATK2  ,II_WEA_MOB_DORIDOMA1_ATK3  ,=,=,=,=,=,=,=,=,1000,4000,1793,11,130,0,=,2,19,=,0.075,=,0,=,=,=,11,-0.3,0.3,0,0,0,26,=,=,=,=,21,18,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DORIDOMA2,"""도리도마""","""Doridoma""","""ドリドマ""","""""","""""",AII_MONSTER,15,20,35,35,=,BELLI_MELEE,=,11,=,=,RANK_NORMAL,0,=,=,=,106,110,II_WEA_MOB_DORIDOMA2_ATK1  ,II_WEA_MOB_DORIDOMA2_ATK2  ,II_WEA_MOB_DORIDOMA2_ATK3  ,=,=,=,=,=,=,=,=,1000,4000,1793,11,130,0,=,3,19,=,0.075,=,0,=,=,=,11,0,0,0,0.3,-0.3,26,=,=,=,=,50,18,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DORIDOMA3,"""두목 도리도마""","""Captain Doridoma""","""キャプテン?ドリドマ""","""""","""""",AII_MONSTER,15,20,37,37,=,BELLI_MELEE,=,12,=,=,RANK_CAPTAIN,0,=,=,=,104,109,II_WEA_MOB_DORIDOMA3_ATK1  ,II_WEA_MOB_DORIDOMA3_ATK2  ,II_WEA_MOB_DORIDOMA3_ATK3  ,=,=,=,=,=,=,=,=,1000,4000,2053,12,130,0,=,2,30,=,0.08,=,0,=,=,=,12,-0.3,0.3,0,0,0,28,=,=,=,=,14,20,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_DORIDOMA4,"""거대 도리도마""","""Gaint Doridoma""","""ジャイアント?ドリドマ""","""""","""""",AII_MONSTER,15,20,43,43,=,BELLI_MELEE,=,15,=,=,RANK_BOSS,0,=,=,=,259,271,II_WEA_MOB_DORIDOMA4_ATK1  ,II_WEA_MOB_DORIDOMA4_ATK2  ,II_WEA_MOB_DORIDOMA4_ATK3  ,=,=,=,=,=,=,=,=,1000,3000,47784,15,130,0,=,3,47,=,0.075,=,0,=,=,=,15,0,0,0,0.3,-0.3,245,=,=,=,=,340,132,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_LAWOLF1,"""새끼 라울프""","""Young Lawolf""","""ヤング?ラ?ウルフ""","""""","""""",AII_MONSTER,15,20,39,39,=,BELLI_MELEE2X,=,13,=,=,RANK_LOW,0,=,=,=,121,126,II_WEA_MOB_LAWOLF1_ATK1    ,II_WEA_MOB_LAWOLF1_ATK2    ,II_WEA_MOB_LAWOLF1_ATK3    ,=,=,=,=,=,=,=,=,1000,4000,2226,13,130,0,=,1,22,=,0.075,=,0,=,=,=,13,0,0,0.3,-0.3,0,30,=,=,=,=,13,22,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
