/*											
===================================================================================================================											
	가위 바위 보 스크립트 작성법										
===================================================================================================================											
#NAME?											
		연승	비김확률	패배확률	승리확률	아이템ID	갯수				
SENDITEM	5	347500		330000		322500		II_GEN_MAT_ORICHALCUM01_1	5		
SENDITEM	6	347500		330000		322500		II_GEN_MAT_ORICHALCUM01_1	10		
SENDITEM	7	347500		330000		322500		II_GEN_MAT_ORICHALCUM01_1	20		
SENDITEM	8	347500		330000		322500		II_PET_DEVILTOY			1
SENDITEM	9	355000		330000		315000		II_RID_RID_WIN_PROPHET01	1		
SENDITEM	10	355000		330000		315000		II_ARM_S_CLO_CLO_DRAGON4	1

											

//일본 이벤트용 (12.10.9 - 10.22)
SENDITEM	0	333333		333333		333333		II_CHR_FOO_COO_BULLHAMS		1										
SENDITEM	1	340000		330000		330000		II_SYS_SYS_EVE_CANDY01		10	
SENDITEM	2	340000		330000		330000		II_CHR_REF_REF_HOLD			5	
SENDITEM	3	340000		330000		330000		II_CHR_POT_DRI_VITALX		5	
SENDITEM	4	340000		330000		330000		II_SYS_SYS_SCR_AMPESS		2	
SENDITEM	5	347500		330000		322500		II_SYS_SYS_SCR_BLESSEDNESS	5		
SENDITEM	6	347500		330000		322500		II_SYS_SYS_SCR_TELEPORTV	2		
SENDITEM	7	347500		330000		322500		II_SYS_SYS_SCR_GET02		2		
SENDITEM	8	347500		330000		322500		II_PET_WHITETIGER02			1
SENDITEM	9	355000		330000		315000		II_RID_RID_WIN_FEATHER01	1		
SENDITEM	10	355000		330000		315000		II_ARM_S_CLO_CLO_DRAGON2	1

//국내 이벤트용 (13.03.20 - )
SENDITEM	0	333333		333333		333333		II_SYS_SYS_EVE_PUMPKIN01		1
SENDITEM	1	340000		330000		330000		II_GEN_FOO_PIL_SINBI		5
SENDITEM	2	340000		330000		330000		II_SYS_SYS_SCR_SCUD		3
SENDITEM	3	340000		330000		330000		II_SYS_SYS_USAEVENTBX_ORIMOONSTONE		1
SENDITEM	4	340000		330000		330000		II_SYS_SYS_SCR_PARTYEXPUP01		1
SENDITEM	5	347500		330000		322500		II_SYS_SYS_SCR_BLESSEDNESS		2
SENDITEM	6	347500		330000		322500		II_SYS_SYS_SCR_AMPESS		2
SENDITEM	7	347500		330000		322500		II_PET_WHITETIGER02		1
SENDITEM	8	347500		330000		322500		II_SYS_SYS_SCR_AWAKECANCEL		20
SENDITEM	9	355000		330000		315000		II_RID_RID_WIN_FEATHER01		1
SENDITEM	10	355000		330000		315000		II_ARM_S_CLO_CLO_DRAGON2		1
*/

SENDITEM	0	333334		333333		333333		II_SYS_SYS_EVE_PUMPKIN01		1
SENDITEM	1	340000		330000		330000		II_GEN_FOO_LASAGNE		5
SENDITEM	2	340000		330000		330000		II_SYS_SYS_SCR_TELEPORTV		1
SENDITEM	3	340000		330000		330000		II_SYS_SYS_SCR_SMELPROT5		1
SENDITEM	4	350000		330000		320000		II_SYS_SYS_SCR_SMELPROT4		2
SENDITEM	5	350000		330000		320000		II_SYS_SYS_SCR_SMELPROT3		2
SENDITEM	6	350000		330000		320000		II_SYS_SYS_SCR_RANDOMOPTIONRTRY		3
SENDITEM	7	350000		330000		320000		II_SYS_SYS_SCR_AWAKECANCEL		10
SENDITEM	8	350000		330000		320000		II_SYS_SYS_SCR_CANCELLATION		1
SENDITEM	9	360000		330000		310000		II_SYS_SYS_SCR_EVEAMPESS		20
SENDITEM	10	360000		330000		310000		II_ARM_S_CLO_CLO_MAJESTY_EVENT		1
