//비스 구룹	구룹 대표이름	기간 별 아이템 종류									
//dwVisGroup	szGroupName	dwVisID1	dwVisID2	dwVisID3	dwVisID4	dwVisID5	dwVisID6	dwVisID7	dwVisID8	dwVisID9	dwVisID10
27	TID_MMI_VISGROUP_ATKPOWER_Lv1	II_SYS_VIS_LV1_ATKPOWER	II_SYS_VIS_LV1_ATKPOWER7	=	=	=	=	=	=	=	=
28	TID_MMI_VISGROUP_ATKPOWER_Lv2	II_SYS_VIS_LV2_ATKPOWER	II_SYS_VIS_LV2_ATKPOWER_01	II_SYS_VIS_LV2_ATKPOWER7	=	=	=	=	=	=	=
29	TID_MMI_VISGROUP_ADJDEF_Lv1	II_SYS_VIS_LV1_ADJDEF	II_SYS_VIS_LV1_ADJDEF7	=	=	=	=	=	=	=	=
30	TID_MMI_VISGROUP_ADJDEF_Lv2	II_SYS_VIS_LV2_ADJDEF	II_SYS_VIS_LV2_ADJDEF_01	II_SYS_VIS_LV2_ADJDEF7	=	=	=	=	=	=	=
31	TID_MMI_VISGROUP_ADDMAGIC_Lv1	II_SYS_VIS_LV1_ADDMAGIC	II_SYS_VIS_LV1_ADDMAGIC7	=	=	=	=	=	=	=	=
32	TID_MMI_VISGROUP_ADDMAGIC_Lv2	II_SYS_VIS_LV2_ADDMAGIC	II_SYS_VIS_LV2_ADDMAGIC_01	II_SYS_VIS_LV2_ADDMAGIC7	=	=	=	=	=	=	=
33	TID_MMI_VISGROUP_PARRY_Lv1	II_SYS_VIS_LV1_PARRY	II_SYS_VIS_LV1_PARRY7	=	=	=	=	=	=	=	=
34	TID_MMI_VISGROUP_PARRY_Lv2	II_SYS_VIS_LV2_PARRY	II_SYS_VIS_LV2_PARRY_01	II_SYS_VIS_LV2_PARRY7	=	=	=	=	=	=	=
35	TID_MMI_VISGROUP_HPMAX_Lv1	II_SYS_VIS_LV1_HPMAX	II_SYS_VIS_LV1_HPMAX7	=	=	=	=	=	=	=	=
36	TID_MMI_VISGROUP_HPMAX_Lv2	II_SYS_VIS_LV2_HPMAX	II_SYS_VIS_LV2_HPMAX_01	II_SYS_VIS_LV2_HPMAX7	=	=	=	=	=	=	=
37	TID_MMI_VISGROUP_KILLHP_Lv1	II_SYS_VIS_LV1_KILLHP	II_SYS_VIS_LV1_KILLHP7	=	=	=	=	=	=	=	=
38	TID_MMI_VISGROUP_CRIBONUS_Lv2	II_SYS_VIS_LV2_CRIBONUS	II_SYS_VIS_LV2_CRIBONUS_01	II_SYS_VIS_LV2_CRIBONUS7	=	=	=	=	=	=	=
39	TID_MMI_VISGROUP_KILLHP_Lv2	II_SYS_VIS_LV2_KILLHP	II_SYS_VIS_LV2_KILLHP_01	II_SYS_VIS_LV2_KILLHP7	=	=	=	=	=	=	=
40	TID_MMI_VISGROUP_MONSTERDMG_Lv2	II_SYS_VIS_LV2_MONSTERDMG	II_SYS_VIS_LV2_MONSTERDMG_01	II_SYS_VIS_LV2_MONSTERDMG7	=	=	=	=	=	=	=
41	TID_MMI_VISGROUP_FOREVERKILLHP01_Lv1	II_SYS_VIS_LV1_FOREVERKILLHP01	=	=	=	=	=	=	=	=	=
42	TID_MMI_VISGROUP_FOREVERKILLHP02_Lv2	II_SYS_VIS_LV2_FOREVERKILLHP02	=	=	=	=	=	=	=	=	=
43	TID_MMI_VISGROUP_FOREVERWARRIORLV1	II_SYS_VIS_LV1_FOREVERWARRIOR	=	=	=	=	=	=	=	=	=
44	TID_MMI_VISGROUP_FOREVERWARRIORLV2	II_SYS_VIS_LV2_FOREVERWARRIOR	=	=	=	=	=	=	=	=	=
45	TID_MMI_VISGROUP_FOREVERCASTINGLV1	II_SYS_VIS_LV1_FOREVERCASTING	=	=	=	=	=	=	=	=	=
46	TID_MMI_VISGROUP_FOREVERCASTINGLV2	II_SYS_VIS_LV2_FOREVERCASTING	=	=	=	=	=	=	=	=	=
47	TID_MMI_VISGROUP_GUILDPVP_LV1	II_SYS_VIS_LV1_GUILDPVP01	=	=	=	=	=	=	=	=	=
48	TID_MMI_VISGROUP_GUILDPVP_LV2	II_SYS_VIS_LV2_GUILDPVP02	=	=	=	=	=	=	=	=	=
49	TID_MMI_VISGROUP_RPSHUNTER_LV1	II_SYS_VIS_LV1_RPS_HUNTER	=	=	=	=	=	=	=	=	=
50	TID_MMI_VISGROUP_RPSLEECHING_LV1	II_SYS_VIS_LV1_RPS_LEECHING	=	=	=	=	=	=	=	=	=
51	TID_MMI_VISGROUP_RPSWITCH_LV1	II_SYS_VIS_LV1_RPS_WITCH	=	=	=	=	=	=	=	=	=
